Date,M1-0:00,M1-0:15,M1-0:30,M1-0:45,M1-1:00,M1-1:15,M1-1:30,M1-1:45,M1-2:00,M1-2:15,M1-2:30,M1-2:45,M1-3:00,M1-3:15,M1-3:30,M1-3:45,M1-4:00,M1-4:15,M1-4:30,M1-4:45,M1-5:00,M1-5:15,M1-5:30,M1-5:45,M1-6:00,M1-6:15,M1-6:30,M1-6:45,M1-7:00,M1-7:15,M1-7:30,M1-7:45,M1-8:00,M1-8:15,M1-8:30,M1-8:45,M1-9:00,M1-9:15,M1-9:30,M1-9:45,M1-10:00,M1-10:15,M1-10:30,M1-10:45,M1-11:00,M1-11:15,M1-11:30,M1-11:45,M1-12:00,M1-12:15,M1-12:30,M1-12:45,M1-13:00,M1-13:15,M1-13:30,M1-13:45,M1-14:00,M1-14:15,M1-14:30,M1-14:45,M1-15:00,M1-15:15,M1-15:30,M1-15:45,M1-16:00,M1-16:15,M1-16:30,M1-16:45,M1-17:00,M1-17:15,M1-17:30,M1-17:45,M1-18:00,M1-18:15,M1-18:30,M1-18:45,M1-19:00,M1-19:15,M1-19:30,M1-19:45,M1-20:00,M1-20:15,M1-20:30,M1-20:45,M1-21:00,M1-21:15,M1-21:30,M1-21:45,M1-22:00,M1-22:15,M1-22:30,M1-22:45,M1-23:00,M1-23:15,M1-23:30,M1-23:45,M2-0:00,M2-0:15,M2-0:30,M2-0:45,M2-1:00,M2-1:15,M2-1:30,M2-1:45,M2-2:00,M2-2:15,M2-2:30,M2-2:45,M2-3:00,M2-3:15,M2-3:30,M2-3:45,M2-4:00,M2-4:15,M2-4:30,M2-4:45,M2-5:00,M2-5:15,M2-5:30,M2-5:45,M2-6:00,M2-6:15,M2-6:30,M2-6:45,M2-7:00,M2-7:15,M2-7:30,M2-7:45,M2-8:00,M2-8:15,M2-8:30,M2-8:45,M2-9:00,M2-9:15,M2-9:30,M2-9:45,M2-10:00,M2-10:15,M2-10:30,M2-10:45,M2-11:00,M2-11:15,M2-11:30,M2-11:45,M2-12:00,M2-12:15,M2-12:30,M2-12:45,M2-13:00,M2-13:15,M2-13:30,M2-13:45,M2-14:00,M2-14:15,M2-14:30,M2-14:45,M2-15:00,M2-15:15,M2-15:30,M2-15:45,M2-16:00,M2-16:15,M2-16:30,M2-16:45,M2-17:00,M2-17:15,M2-17:30,M2-17:45,M2-18:00,M2-18:15,M2-18:30,M2-18:45,M2-19:00,M2-19:15,M2-19:30,M2-19:45,M2-20:00,M2-20:15,M2-20:30,M2-20:45,M2-21:00,M2-21:15,M2-21:30,M2-21:45,M2-22:00,M2-22:15,M2-22:30,M2-22:45,M2-23:00,M2-23:15,M2-23:30,M2-23:45
1/01/2012,0.021819664,0.021705094,0.02487241,0.022427645,0.01744886,0.019327056,0.027153696,0.020353743,0.01570743,0.016479941,0.02155313,0.023459193,0.014742264,0.015766895,0.012790688,0.014001512,0.014443438,0.013112043,0.017304369,0.017520373,0.018442811,0.01285078,0.013283913,0.014378923,0.015885226,0.01543576,0.011816273,0.00931682,0.01418739,0.010246966,0.01756489,0.01713765,0.013351092,0.01465982,0.020704057,0.022338447,0.020040384,0.015353623,0.026226464,0.018801206,0.022057017,0.026292542,0.019805712,0.025048433,0.025560306,0.032884119,0.03454214,0.028288058,0.032560902,0.039065272,0.035689163,0.03421426,0.024566924,0.030370928,0.027262365,0.021003912,0.035098826,0.021221811,0.027535558,0.026150944,0.029208457,0.030454688,0.025904046,0.033748426,0.030249931,0.032158027,0.032804582,0.033015032,0.035491699,0.035505362,0.025572589,0.035458121,0.031517436,0.039016768,0.037222538,0.031576166,0.027387714,0.027963152,0.039246659,0.024433569,0.035864227,0.02952031,0.033164024,0.032645087,0.026194669,0.027405364,0.022437419,0.030554862,0.034831871,0.024083649,0.029217926,0.031924456,0.023710796,0.020386077,0.027363115,0.01639137,0.334897055,0.296759852,0.339390091,0.334815458,0.215726002,0.316076579,0.279161611,0.264451097,0.223473619,0.325648275,0.217391455,0.271725077,0.176705754,0.268235026,0.184874144,0.160997001,0.198656454,0.235933721,0.258520381,0.201213032,0.212283316,0.170274072,0.211891201,0.198069704,0.23041217,0.178074887,0.177984132,0.11605988,0.125963641,0.084874516,0.072069894,0.102368305,0.088183287,0.076748302,0.089347414,0.084704848,0.10314221,0.1145177,0.076783332,0.11438672,0.116163205,0.111002237,0.109376493,0.103969909,0.087600119,0.09588036,0.123659193,0.108566231,0.123722918,0.090068452,0.148054704,0.116271378,0.107508615,0.145340312,0.127187642,0.136915193,0.159168172,0.143420574,0.093689494,0.095125247,0.160966686,0.150043066,0.142444402,0.115950219,0.104321117,0.136337886,0.1410244,0.097170656,0.144561166,0.108752352,0.099724555,0.121387151,0.132745046,0.103153674,0.118553564,0.115334758,0.160909597,0.156799876,0.15636085,0.151473491,0.110553697,0.090331313,0.120693081,0.092576343,0.144096385,0.091501323,0.120857313,0.100643795,0.174151561,0.269361514,0.315721971,0.342813329,0.311116,0.25646781,0.379069108,0.2268
2/01/2012,0.026475102,0.021588689,0.013337842,0.014200648,0.018159577,0.012796646,0.01224541,0.013338613,0.017326908,0.011127396,0.016171588,0.009792506,0.015579639,0.015354841,0.014589692,0.01340243,0.009466602,0.013651818,0.010216446,0.01081463,0.015892166,0.015141395,0.009907032,0.013885071,0.015046738,0.015655343,0.017457756,0.021167415,0.020314855,0.019789322,0.017840697,0.023429536,0.01865088,0.02444266,0.029516914,0.029264438,0.021555071,0.030811049,0.03231683,0.019292324,0.026974125,0.025183837,0.02059919,0.021401299,0.02653208,0.034060172,0.019395198,0.033065794,0.03463541,0.03248252,0.029948729,0.025044307,0.019709381,0.031022088,0.032757099,0.019004073,0.031173541,0.022566945,0.019758374,0.028567967,0.027137475,0.024493664,0.026087246,0.021443265,0.032244982,0.025809934,0.029624677,0.031449004,0.036830638,0.024998599,0.04245822,0.038899502,0.036863293,0.033151607,0.03974636,0.045163745,0.027162025,0.03580568,0.025537168,0.024510847,0.038515648,0.032794412,0.032843421,0.023517436,0.032758046,0.031595587,0.024684967,0.034295328,0.029703149,0.029756471,0.033339869,0.025412049,0.026124474,0.022570342,0.023360445,0.027383648,0.331424248,0.242434291,0.26240746,0.256624389,0.21094892,0.326325004,0.249298421,0.186072264,0.275743316,0.228822144,0.271446302,0.160061006,0.233288096,0.265258685,0.187331254,0.184792985,0.215654145,0.189730563,0.175301854,0.155125025,0.155042424,0.181239706,0.24869646,0.241424554,0.252018449,0.221259728,0.235987729,0.199781829,0.100621295,0.106463689,0.09236657,0.091423188,0.10935557,0.106362985,0.093957073,0.11989193,0.077320964,0.119156709,0.110880166,0.078290253,0.114411623,0.0814199,0.101560039,0.119780071,0.119124449,0.07414579,0.110650265,0.131971566,0.112136848,0.143895368,0.130885214,0.149234946,0.165817639,0.1262684,0.13304023,0.129796334,0.095126789,0.12093507,0.110062303,0.08589183,0.1219152,0.105314875,0.145720115,0.157769282,0.143652097,0.110271223,0.126480423,0.149489664,0.135594622,0.149532674,0.148341868,0.139513782,0.186628126,0.109503287,0.158593637,0.157568896,0.143883325,0.165116471,0.126938992,0.156805004,0.124298228,0.140261778,0.121981449,0.147663335,0.143715451,0.163572475,0.10676121,0.149734974,0.219966627,0.181991416,0.344121932,0.322249909,0.345158323,0.245855309,0.425981072,0.302163753
3/01/2012,0.016258413,0.022488636,0.014194176,0.016528187,0.021764628,0.017985863,0.016423232,0.01711462,0.015355605,0.014294019,0.016773267,0.01454596,0.012131044,0.015778719,0.009794954,0.011599397,0.011534308,0.013982649,0.01635547,0.010368198,0.009703777,0.011571134,0.012276529,0.018140119,0.012107744,0.016720812,0.016247013,0.014542106,0.016030769,0.020825862,0.017934371,0.024496573,0.017976412,0.017992646,0.022697526,0.027472059,0.020880908,0.025170723,0.028243039,0.02837377,0.019965913,0.029500012,0.023394962,0.020808737,0.029542552,0.023441201,0.029778383,0.028058192,0.022174957,0.025689065,0.033143811,0.022996551,0.019080124,0.029210491,0.01843847,0.022948826,0.02769142,0.023060603,0.023402004,0.031211516,0.031631512,0.02427926,0.026215399,0.030934537,0.022857116,0.027961162,0.02820824,0.022850315,0.026245643,0.031897069,0.042508913,0.044167136,0.035011485,0.036877762,0.041127121,0.044660179,0.036491399,0.032296014,0.031744759,0.028665756,0.028764678,0.025630746,0.034550545,0.026014539,0.034699761,0.031686322,0.020365016,0.029508164,0.034189478,0.028907317,0.022522606,0.019781672,0.031225697,0.028762118,0.02718794,0.019588886,0.34078677,0.351140975,0.288357797,0.322352169,0.24427009,0.331544133,0.234739344,0.206042409,0.252892108,0.311188294,0.194529089,0.227387439,0.186464376,0.156421821,0.203945578,0.222687102,0.151404911,0.221491493,0.249567919,0.246406801,0.176495224,0.175769679,0.219490087,0.222433078,0.245500374,0.251853271,0.230355184,0.139240047,0.122083978,0.139668725,0.098064095,0.113399122,0.078669437,0.115968916,0.134643805,0.135351352,0.111305737,0.089386623,0.088765292,0.127036009,0.077517129,0.087034015,0.098579468,0.104648241,0.07536135,0.084209893,0.137541328,0.132568393,0.092230097,0.125065607,0.139231153,0.18576489,0.17396592,0.118830453,0.1319301,0.167200473,0.154059943,0.149434282,0.113333344,0.108073029,0.106200302,0.130528572,0.112405895,0.104187798,0.114231641,0.115256308,0.12039357,0.147482685,0.164913974,0.169589973,0.128415201,0.127401509,0.123683636,0.145521326,0.105811078,0.126280081,0.16439744,0.138439164,0.121704979,0.151922271,0.140208521,0.105832395,0.160865713,0.16724108,0.130953024,0.122981388,0.151912576,0.107642526,0.240997981,0.172960967,0.338626985,0.26567067,0.296827982,0.420597426,0.264825661,0.245133289
4/01/2012,0.019606288,0.013594224,0.013667977,0.016286028,0.021515741,0.017720574,0.016623305,0.017974505,0.012662101,0.010227262,0.017534425,0.017292191,0.010158691,0.012861167,0.013986999,0.0127682,0.010304755,0.009808288,0.014089994,0.01289903,0.011610265,0.009692565,0.009272338,0.015729835,0.016452188,0.013258825,0.017843021,0.01051454,0.013915335,0.015870843,0.01780155,0.024155215,0.025227004,0.024153306,0.018117616,0.032244062,0.02700071,0.024197773,0.024543226,0.021909065,0.028466403,0.032464989,0.025943994,0.03409024,0.030554262,0.022364318,0.03898147,0.02327023,0.029034902,0.024480575,0.028107591,0.025841323,0.024728839,0.027629214,0.024864959,0.028700785,0.036429079,0.032139012,0.019891909,0.020418128,0.028457856,0.021984072,0.021486416,0.030465425,0.034366902,0.025940359,0.030747915,0.021646587,0.041292328,0.044139337,0.033726159,0.032636815,0.042937308,0.026832913,0.040470284,0.027042801,0.034593783,0.038147176,0.032152998,0.032453211,0.027693761,0.024839067,0.023930308,0.034259811,0.020817801,0.028284721,0.019953427,0.021307889,0.022027795,0.022932997,0.028451367,0.031149303,0.020597672,0.027592724,0.015353082,0.015847445,0.383086243,0.231581485,0.274567606,0.334084286,0.263710382,0.313156976,0.206660053,0.182283447,0.313057244,0.250973147,0.186222053,0.283445071,0.182590078,0.198861338,0.252369318,0.182769061,0.18097482,0.218290808,0.214365506,0.213529618,0.200468614,0.184900782,0.167455198,0.198332635,0.252632029,0.245467437,0.247110013,0.199893477,0.14148146,0.176857984,0.125153534,0.107814331,0.109514096,0.126265386,0.139426269,0.13817372,0.152181396,0.144435211,0.129981565,0.167201126,0.120029938,0.099310028,0.106780489,0.128672411,0.173377323,0.147610722,0.118676375,0.112525479,0.146933677,0.176775162,0.192596948,0.137020934,0.147898838,0.176002986,0.156596887,0.170574549,0.11743064,0.165910137,0.170635213,0.122422424,0.14137736,0.169264033,0.160049633,0.104024614,0.171492559,0.174405329,0.093688775,0.140229248,0.12172178,0.181817656,0.117806621,0.136526041,0.179224489,0.125172326,0.142082181,0.210526146,0.172857296,0.113892957,0.145816534,0.164555785,0.114205506,0.13208731,0.147223306,0.108125395,0.103149673,0.104026606,0.120737889,0.103969978,0.173560238,0.164506081,0.273479414,0.280720551,0.320674875,0.364415666,0.406104027,0.261985067
5/01/2012,0.016769487,0.021146681,0.020860347,0.016216321,0.021039722,0.014895002,0.010931141,0.016715519,0.015008507,0.010769514,0.015343042,0.01523557,0.013625424,0.016782836,0.01212551,0.011175185,0.015290175,0.012220928,0.015632119,0.012709104,0.01552363,0.012915437,0.014849738,0.010930817,0.013444157,0.014911345,0.010296561,0.016385962,0.011872972,0.014621574,0.012162295,0.020611418,0.015245,0.026391016,0.030524366,0.0253591,0.022639023,0.023710308,0.01959201,0.034789478,0.026109145,0.03803795,0.037389348,0.025654751,0.037811363,0.034030404,0.024428309,0.039074517,0.038628359,0.02636292,0.03452572,0.027331282,0.038536932,0.034972257,0.02238189,0.037903497,0.021036301,0.028980002,0.0264164,0.02582144,0.022768893,0.021598048,0.032581959,0.028144165,0.021834488,0.03059706,0.023542227,0.022098397,0.031943328,0.025983712,0.036849154,0.027493369,0.026747672,0.035855912,0.035336135,0.031865132,0.042474862,0.02655322,0.042605046,0.031966791,0.040524403,0.026135843,0.034365532,0.031215148,0.021645199,0.02367907,0.035914903,0.031699849,0.03404045,0.021920633,0.022331181,0.023375867,0.028055271,0.017029877,0.022837736,0.020946943,0.371020054,0.305855086,0.350413307,0.233786333,0.210350711,0.293805354,0.331420713,0.31577619,0.299641907,0.255904579,0.24020022,0.217906779,0.204624326,0.230104042,0.225588189,0.22190057,0.214498167,0.187802037,0.256830484,0.150750082,0.233118237,0.208184054,0.220565038,0.200469235,0.230637336,0.150306752,0.152767661,0.137884401,0.113551454,0.117645525,0.155951124,0.145192468,0.104539774,0.136480452,0.083757452,0.148254583,0.150457118,0.120893696,0.152562694,0.135135226,0.109672325,0.131980051,0.143563074,0.108863187,0.151382607,0.109220353,0.158642154,0.16390529,0.151802417,0.144669704,0.176421521,0.217877289,0.212174397,0.155591798,0.189665615,0.193593135,0.179481272,0.139392743,0.109149152,0.139199947,0.101817164,0.174551988,0.129957367,0.160182067,0.153266426,0.11071445,0.144499932,0.099172358,0.167316797,0.198128404,0.198979752,0.142794511,0.123087615,0.131641787,0.183283445,0.135856704,0.1810745,0.120502437,0.156339131,0.142161581,0.172274437,0.135792592,0.172463058,0.168677648,0.142648516,0.165506078,0.108003391,0.159438911,0.155550144,0.276445223,0.240980121,0.285819669,0.228380686,0.388037215,0.407956863,0.290678707
6/01/2012,0.015379852,0.018526771,0.015777468,0.015899083,0.013387358,0.014520939,0.013429423,0.016466809,0.009440297,0.009341157,0.012309101,0.016131183,0.015136261,0.009786345,0.010092725,0.011299309,0.014447181,0.014483906,0.009477477,0.016353497,0.011003776,0.01490927,0.012082138,0.011685207,0.01818499,0.017729823,0.018031658,0.014175153,0.02599042,0.025942802,0.030294218,0.030923629,0.019452622,0.019883139,0.021033801,0.020787395,0.031012076,0.02214968,0.016945828,0.024662717,0.029067612,0.025902969,0.024362855,0.017383634,0.028584399,0.019264032,0.03089032,0.019489077,0.019317222,0.023482841,0.03054551,0.030464762,0.028812171,0.023104042,0.023228673,0.02031243,0.019371606,0.020296001,0.026809894,0.018372474,0.015130111,0.023829412,0.025709393,0.026448908,0.021728773,0.029977515,0.026237461,0.021726724,0.032857727,0.025840265,0.036043497,0.042357896,0.02885785,0.029454874,0.037777205,0.027068446,0.034822563,0.038731084,0.039583465,0.029237189,0.023693193,0.022790151,0.026950249,0.036893477,0.031303084,0.03574284,0.027884259,0.026501135,0.020495453,0.022448034,0.025684573,0.024717168,0.028871264,0.019462958,0.02481205,0.021963096,0.333005646,0.28603635,0.359332853,0.312447858,0.346388901,0.220196972,0.265909714,0.194464871,0.275091896,0.229301808,0.186756408,0.156125765,0.252970224,0.207611044,0.237669075,0.203351379,0.232498786,0.137121901,0.251117651,0.204176066,0.233106222,0.198957871,0.215207054,0.200114353,0.18739457,0.282807097,0.239040945,0.244676339,0.112718751,0.13461906,0.132306372,0.141261112,0.113026822,0.095897139,0.085424094,0.092827723,0.112576016,0.076646897,0.079431924,0.076240558,0.089955777,0.107350789,0.062117626,0.108520781,0.097508298,0.079823223,0.074636656,0.092541583,0.117408064,0.10324656,0.148855993,0.126492223,0.137824232,0.147678033,0.131390613,0.10053347,0.132479083,0.120263854,0.093149383,0.107905545,0.12369703,0.121035541,0.076838384,0.0913821,0.079680988,0.123711034,0.072002217,0.096336315,0.143767021,0.126326039,0.165659726,0.157006088,0.190082182,0.192910862,0.135475649,0.145621869,0.129561047,0.152857319,0.163450735,0.138383423,0.104736255,0.161109084,0.134729848,0.124299471,0.111117029,0.101898187,0.127829542,0.176999619,0.162194633,0.315292819,0.28867339,0.294753116,0.366857801,0.358068941,0.301663749,0.392948382
7/01/2012,0.012829007,0.014637862,0.013942083,0.018545149,0.019182681,0.014672165,0.014216548,0.015781072,0.012558669,0.015214063,0.011327885,0.014456512,0.010919117,0.014830672,0.009875315,0.013758109,0.013384076,0.01259439,0.010175828,0.014777889,0.013039604,0.014279405,0.016370447,0.016594677,0.018827349,0.016983234,0.016238539,0.024462188,0.021173809,0.020324133,0.028983087,0.028002794,0.027307583,0.029098134,0.029865108,0.0186681,0.022097873,0.018937914,0.026252481,0.025534561,0.020396923,0.023481058,0.020053961,0.028338123,0.016795564,0.0284339,0.031004443,0.029014023,0.021006557,0.022870889,0.029019784,0.024805364,0.021489052,0.026004357,0.020775085,0.025849578,0.020589011,0.014631984,0.022204299,0.022537362,0.014796241,0.02364458,0.026273828,0.02068083,0.021639691,0.019138489,0.019311279,0.03441773,0.029102336,0.041327036,0.03676557,0.034504122,0.037329154,0.032274867,0.030029794,0.044094221,0.044833531,0.03440866,0.037052371,0.038154774,0.035223477,0.022456665,0.028644808,0.025988385,0.036285953,0.034184899,0.02112753,0.022719634,0.033053515,0.021611247,0.026132625,0.022779444,0.024296906,0.026997603,0.019618971,0.022497414,0.317698047,0.247481906,0.240286667,0.26614281,0.351194693,0.216039128,0.211203625,0.245956478,0.237644945,0.305579432,0.163995003,0.269696917,0.190966666,0.15307005,0.154546305,0.144097513,0.158729643,0.241917385,0.247629007,0.190142488,0.234712735,0.211021156,0.247357538,0.151512619,0.250624195,0.212357458,0.188280007,0.180633499,0.149216214,0.122352001,0.128397521,0.14997899,0.123632569,0.110761125,0.098196923,0.107463716,0.108217295,0.116191733,0.090832156,0.069610383,0.091995105,0.090290055,0.082253348,0.094138611,0.097283839,0.109004316,0.070269489,0.074948332,0.075633073,0.121496951,0.134225911,0.096624688,0.136709347,0.116687625,0.105958056,0.082542429,0.108105073,0.087830946,0.109857993,0.087424381,0.076087434,0.112975132,0.069717921,0.083534437,0.124099466,0.103597488,0.089729215,0.07476408,0.154485657,0.11717968,0.118410167,0.114137908,0.113959095,0.141927319,0.16962866,0.163956626,0.13745432,0.145790893,0.098753277,0.100094333,0.131475379,0.154518529,0.126552554,0.113005484,0.126180545,0.14226342,0.129715988,0.17559182,0.149939854,0.232198848,0.345657835,0.374012654,0.411309055,0.255504676,0.298702813,0.240057195
8/01/2012,0.022928292,0.014526216,0.020582467,0.017444688,0.016928321,0.011371213,0.014876525,0.0135656,0.015448287,0.01160738,0.011619186,0.013616709,0.010119426,0.011745345,0.009061088,0.010987095,0.011613282,0.016272392,0.011031499,0.011970138,0.015024299,0.0173726,0.016738054,0.01628094,0.014952407,0.016690149,0.02170972,0.017621505,0.019130247,0.023037215,0.024084813,0.025068979,0.019616664,0.030478689,0.018880823,0.022976376,0.023238189,0.027162866,0.025361578,0.027741693,0.023121762,0.022615606,0.027416852,0.019008377,0.021831384,0.018333401,0.019857543,0.019175471,0.026429353,0.028265942,0.026244529,0.026306732,0.026016517,0.018211729,0.019144029,0.02782175,0.027574845,0.016131469,0.015309686,0.027399,0.022403301,0.019653976,0.020450245,0.029172565,0.023176094,0.024595115,0.030740874,0.027579517,0.026821291,0.028769451,0.029411632,0.031276418,0.031358153,0.036498436,0.039550612,0.038153023,0.037151354,0.03395751,0.029332214,0.024278357,0.03369224,0.030944644,0.038685522,0.024018309,0.022063333,0.037429319,0.028116188,0.020109375,0.023319862,0.02547687,0.02378925,0.026872973,0.026324389,0.022539875,0.018303067,0.022746732,0.28808782,0.319110503,0.348523538,0.365101225,0.293527958,0.259119961,0.288949449,0.279778335,0.199516793,0.250077504,0.236900314,0.188727674,0.182165003,0.148697965,0.208039047,0.160421568,0.176288531,0.159799845,0.195834691,0.24253979,0.235646109,0.209168387,0.185759694,0.192341158,0.153239574,0.202520843,0.26969403,0.175823226,0.123535359,0.135084545,0.100415866,0.147410865,0.142947407,0.134177177,0.080216779,0.095774278,0.081148759,0.09485822,0.094377359,0.110435995,0.068494236,0.072162587,0.088678231,0.089736794,0.079099909,0.074785722,0.107391492,0.076634564,0.092892571,0.131197092,0.107821991,0.142072348,0.123330598,0.12454861,0.117177883,0.093304648,0.078682704,0.098184115,0.122603279,0.090639092,0.068891453,0.109679295,0.081947601,0.119820429,0.106253424,0.100871514,0.122944395,0.127838784,0.118170289,0.102700738,0.137851458,0.161653423,0.109710368,0.179818469,0.176439707,0.174993859,0.149565785,0.157332932,0.151507188,0.128045591,0.152079992,0.144512448,0.111435191,0.155107033,0.157944663,0.138340205,0.101515917,0.110821,0.178925463,0.237492148,0.319049646,0.22717967,0.317016216,0.379666927,0.255614549,0.269562894
9/01/2012,0.021417243,0.016047595,0.012496275,0.019414235,0.016780243,0.011671377,0.015413517,0.017400541,0.010329074,0.017092115,0.013321714,0.012953688,0.015457799,0.015095242,0.01127657,0.012546827,0.013955534,0.013495864,0.01231538,0.015986258,0.013250807,0.012036057,0.013535625,0.012243102,0.019978621,0.015382691,0.017650186,0.016163222,0.018388139,0.020246982,0.028017977,0.031729032,0.018015368,0.031414385,0.024290579,0.021601629,0.022398524,0.021431655,0.017798521,0.022397897,0.024048111,0.023010185,0.017395196,0.016602855,0.028874607,0.022578842,0.021342295,0.030279616,0.019929246,0.029080461,0.020605979,0.026411477,0.024981708,0.023288972,0.025563015,0.015391469,0.021624366,0.01475381,0.021413538,0.021008672,0.018012402,0.026343553,0.022714419,0.019937885,0.02011403,0.02031609,0.026105951,0.024960972,0.024626253,0.024405602,0.041195571,0.034759587,0.04206154,0.042821453,0.041687101,0.02637029,0.032040818,0.031762927,0.043111954,0.036843181,0.029246487,0.036152168,0.023518256,0.026405656,0.023135093,0.023435745,0.024925772,0.03291006,0.033249952,0.028353545,0.018880875,0.026212889,0.022413781,0.024900378,0.019308637,0.016609382,0.337245075,0.285496986,0.344000929,0.23043598,0.30461493,0.248036608,0.267207107,0.252957108,0.235176334,0.249668709,0.212828881,0.263339854,0.193905559,0.164125366,0.20642785,0.239839687,0.234139213,0.23425114,0.255504156,0.18922,0.245785362,0.185749237,0.1911056,0.168769888,0.215875684,0.218149008,0.160469297,0.179126751,0.151464485,0.199553031,0.123676866,0.103493363,0.107933679,0.126774022,0.11834706,0.103979899,0.07136915,0.075219989,0.078451518,0.103786678,0.101152033,0.072671038,0.066846558,0.082908686,0.090532186,0.079477665,0.08878124,0.081571414,0.12111495,0.120828016,0.146660381,0.147927803,0.130685271,0.085172039,0.144680747,0.08597686,0.071069837,0.10280294,0.112092248,0.071968278,0.087940822,0.077814905,0.107784609,0.127160789,0.107909509,0.096850405,0.105395379,0.086476848,0.112510807,0.103608372,0.149595205,0.104114873,0.175549518,0.132925663,0.16575208,0.118886598,0.153153226,0.176762088,0.129169052,0.133050822,0.09528985,0.124763947,0.169470477,0.170538874,0.103619198,0.15956978,0.163718363,0.166092737,0.210194303,0.209889551,0.322197519,0.371141841,0.263783711,0.305601279,0.241994935,0.398382846
10/01/2012,0.019035666,0.012492112,0.013175371,0.01412594,0.014531283,0.0155108,0.011496056,0.009736822,0.013817021,0.009490602,0.012849532,0.010787764,0.011004892,0.010246039,0.013917179,0.010209879,0.015224483,0.010423436,0.011758326,0.014458867,0.010788887,0.015104828,0.017125086,0.0185382,0.014407807,0.015510263,0.016194509,0.017694941,0.017623725,0.021029525,0.025573211,0.024618234,0.022805544,0.017380122,0.029597263,0.018885503,0.030541225,0.02800229,0.02327052,0.024383554,0.016601051,0.027662784,0.019746876,0.022892903,0.029295424,0.027831273,0.019726035,0.02427174,0.025957878,0.019106409,0.02253904,0.01809975,0.024864595,0.021344248,0.016324745,0.025916532,0.026693029,0.022257655,0.025248848,0.022060004,0.019608234,0.015547006,0.020794179,0.028507485,0.023707182,0.016911591,0.021447233,0.031205273,0.02261033,0.035657462,0.03958892,0.039096527,0.029491617,0.032176302,0.033370598,0.041012921,0.035347191,0.024319602,0.027194647,0.037757843,0.039281657,0.026991067,0.023572755,0.021582761,0.027115487,0.024287504,0.029254947,0.026588584,0.030952324,0.033137938,0.032908051,0.02697589,0.019304165,0.016259408,0.025854924,0.018096064,0.239408566,0.306324044,0.218654875,0.264239964,0.232296047,0.235213073,0.234153389,0.228223944,0.192990438,0.225121656,0.220923459,0.256244095,0.227855691,0.231500281,0.148380096,0.19386736,0.236409778,0.171689985,0.164433435,0.182871084,0.143100471,0.233044083,0.23975667,0.253706556,0.19859107,0.182019927,0.154921558,0.201495826,0.137096449,0.181206236,0.122196184,0.126047189,0.140171978,0.132444645,0.120828358,0.108960064,0.08210748,0.110758759,0.071234227,0.099036496,0.085159753,0.066816572,0.0935604,0.062435242,0.068381266,0.083859346,0.105832673,0.114915033,0.117439466,0.117896032,0.156382328,0.120868275,0.11482106,0.084000405,0.150219571,0.099653781,0.077451179,0.078577814,0.075365699,0.109276043,0.094215068,0.097176435,0.079051704,0.102246919,0.10508985,0.074547995,0.090258487,0.107153523,0.092317276,0.138086008,0.128822229,0.111071662,0.101041193,0.160810443,0.125084045,0.111096539,0.124697957,0.105418608,0.097802614,0.145759306,0.093629531,0.113562259,0.164621497,0.134163982,0.152860838,0.107718549,0.148355346,0.17189899,0.192321426,0.203085633,0.2122019,0.279497775,0.381196465,0.328651713,0.255057804,0.381662475
